total_eval,generation,candidate_in_gen,stage_name,species_id,complexity,is_champion,batch_size,dropout_rate,hidden_units,l2_reg,learning_rate,min_delta,num_hidden_layers,positional_encoding,use_log1p_features,window_size,fitness,train_mcc,train_f1,val_mcc,val_f1,test_mcc,test_f1,champion_fitness
226,15,13,refinement,,10,0,45,0.16592741859722027,147,0.0008660456267541544,0.0006985751133497236,7.735501267579347e-07,1,True,['typical_price'],53,0.27742931,0.674746,0.460564,0.580044,0.390127,0.509573,0.267058,0.43195906
227,15,14,refinement,,10,0,52,0.17750728049544484,182,0.0007845287665656127,0.002014704822995029,7.396020291347447e-07,3,True,,49,0.39472964,0.553522,0.417654,0.484683,0.379447,0.390495,0.284235,0.43195906
228,15,15,refinement,,10,0,50,0.06989932255792289,168,0.0007605061720996643,0.007327308734025273,2.452023616891452e-07,1,False,,111,0.36668019,0.527811,0.375855,0.485844,0.360563,0.380495,0.253350,0.43195906
229,16,1,refinement,,10,0,52,0.19112088193980856,139,0.0007845287665656127,0.002291760187300978,7.396020291347447e-07,3,False,,49,0.38658072,0.690718,0.368718,0.651532,0.398489,0.445860,0.249502,0.43195906
230,16,2,refinement,,10,0,19,0.2123701821354295,94,0.0004103464196228434,0.007416552018561085,7.417193397066484e-07,1,True,,62,0.39222715,0.565682,0.409539,0.512397,0.380686,0.479290,0.309804,0.43195906
231,16,3,refinement,1,10,0,32,0.1613906141718048,231,1e-07,1e-05,7.296185141764881e-07,2,False,,48,0.37847538,0.538573,0.380851,0.504647,0.376891,0.432419,0.297150,0.43195906
232,16,4,refinement,,10,0,38,0.12253632674800181,231,1e-07,1e-05,7.296185141764881e-07,2,False,['typical_price'],144,0.20852015,0.684000,0.456920,0.583958,0.361382,0.605858,0.242843,0.43195906
233,16,5,refinement,,10,0,57,0.13698158060219306,182,2.6682491819075464e-06,0.002014704822995029,8.587031402211054e-07,1,False,,51,0.38906726,0.621889,0.383509,0.576670,0.392773,0.333006,0.255203,0.43195906
234,16,6,refinement,1,10,0,29,0.1613906141718048,231,1e-07,1e-05,7.296185141764881e-07,2,False,,48,0.38177413,0.623618,0.392090,0.586113,0.374897,0.510774,0.275562,0.43195906
235,16,7,refinement,,10,0,48,0.2123701821354295,94,0.0003093591348671388,0.006126844976263014,8.587031402211054e-07,1,True,,61,0.38585715,0.526573,0.379965,0.500000,0.389785,0.430261,0.292534,0.43195906
236,16,8,refinement,,10,0,19,0.2123701821354295,81,0.0003894312737759641,0.006126844976263014,7.417193397066484e-07,1,True,,62,0.29422360,0.586389,0.430440,0.494215,0.378049,0.597140,0.275067,0.43195906
237,16,9,refinement,1,10,0,34,0.1307215830549245,256,1e-07,0.0008775117018809297,8.750163176711506e-07,2,False,,48,0.39346111,0.653633,0.399178,0.561509,0.389650,0.353085,0.259944,0.43195906
238,16,10,refinement,,10,0,38,0.1613906141718048,106,1e-07,1e-05,7.322549493928731e-07,3,False,['typical_price'],160,0.36997441,0.645110,0.372697,0.630169,0.368159,0.628497,0.275025,0.43195906
239,16,11,refinement,1,10,0,38,0.0,106,0.0004684536651669134,0.0005423214232444702,7.830088028335914e-07,3,False,['typical_price'],137,0.40765725,0.659518,0.436011,0.562644,0.388755,0.300051,0.262277,0.43195906
240,16,12,refinement,,10,0,48,0.1459342292237269,148,2.6682491819075464e-06,0.002291760187300978,8.587031402211054e-07,2,False,,61,0.39774864,0.639457,0.401751,0.566630,0.395081,0.352390,0.253409,0.43195906
