DATE_TIME,Uncertainty_1,Uncertainty_2,Uncertainty_3,Uncertainty_4,Uncertainty_5,Uncertainty_6
2017-05-05 10:00:00,0.17973201,0.15077788,0.17696904,0.15460543,0.16215731,0.1793914
2017-05-05 11:00:00,0.1949404,0.16917685,0.15248184,0.15694913,0.16737457,0.18437678
2017-05-05 12:00:00,0.18722837,0.18639503,0.16781282,0.16141866,0.17639479,0.17096819
2017-05-05 13:00:00,0.17056707,0.17174017,0.1738692,0.16028912,0.16572551,0.15484142
2017-05-05 14:00:00,0.17324725,0.17917767,0.18137959,0.169392,0.17636408,0.16934212
2017-05-05 15:00:00,0.16698723,0.15346606,0.1624433,0.1312727,0.16285318,0.15661916
2017-05-05 16:00:00,0.16592768,0.1527208,0.17284504,0.17096776,0.14683083,0.16198812
2017-05-05 17:00:00,0.15858592,0.16504256,0.1659947,0.1479192,0.15438685,0.17081569
2017-05-05 18:00:00,0.16502601,0.16559134,0.17896709,0.16005416,0.15519331,0.14878888
2017-05-05 19:00:00,0.17780909,0.15703604,0.1737718,0.15424185,0.16264,0.14659777
2017-05-05 20:00:00,0.14311264,0.17808582,0.16279334,0.15428011,0.16998823,0.17102824
2017-05-07 21:00:00,0.14919911,0.1576258,0.16092746,0.14887744,0.16082336,0.1571078
2017-05-07 22:00:00,0.16540939,0.14804336,0.16156812,0.15338588,0.16852793,0.17557463
2017-05-07 23:00:00,0.16932215,0.15523884,0.16562845,0.16391176,0.17412902,0.15747897
2017-05-08 00:00:00,0.16688855,0.16182368,0.16572641,0.14939137,0.1524217,0.15547776
2017-05-08 01:00:00,0.18239719,0.17239593,0.17468809,0.16396162,0.16974081,0.1551867
2017-05-08 02:00:00,0.17927724,0.17191675,0.17536716,0.17563689,0.1617041,0.17953163
2017-05-08 03:00:00,0.14071636,0.18000919,0.17538485,0.17821983,0.1898308,0.1741727
2017-05-08 04:00:00,0.18060488,0.17461582,0.1877261,0.17246379,0.15885447,0.16754432
2017-05-08 05:00:00,0.17664005,0.17009757,0.17911336,0.19393417,0.17342594,0.17470753
2017-05-08 06:00:00,0.17447402,0.18545628,0.18756834,0.18261623,0.19546624,0.16454811
2017-05-08 07:00:00,0.17765896,0.16956559,0.1677635,0.17076957,0.18855579,0.17411669
2017-05-08 08:00:00,0.16003005,0.18038327,0.1928586,0.1794511,0.159266,0.16467647
2017-05-08 09:00:00,0.18966897,0.16834752,0.19203395,0.17397286,0.1749996,0.16397715
2017-05-08 10:00:00,0.17521763,0.16968066,0.19953455,0.16799167,0.1945829,0.17912315
2017-05-08 11:00:00,0.19220869,0.1966091,0.19786735,0.15609154,0.17174616,0.18318726
2017-05-08 12:00:00,0.2026044,0.18757752,0.1944489,0.18102533,0.19453666,0.19821128
2017-05-08 13:00:00,0.20918036,0.17325415,0.18648334,0.18608373,0.16691495,0.18739519
2017-05-08 14:00:00,0.19546674,0.18820809,0.21247944,0.17319779,0.19079278,0.18702963
2017-05-08 15:00:00,0.1790612,0.20877805,0.20032611,0.17247078,0.19903928,0.1951196
2017-05-08 16:00:00,0.1787897,0.19095251,0.1878878,0.14501496,0.20842697,0.1783934
2017-05-08 17:00:00,0.19219807,0.16683644,0.21917154,0.19300972,0.18482609,0.18759955
2017-05-08 18:00:00,0.20837162,0.2017018,0.19864987,0.18870142,0.1959204,0.19435288
2017-05-08 19:00:00,0.19269207,0.19751559,0.19401784,0.18219803,0.17188472,0.19188163
2017-05-08 20:00:00,0.18030293,0.17648843,0.19638468,0.16695118,0.19538145,0.16469347
2017-05-08 21:00:00,0.20626345,0.16784576,0.18342356,0.17455083,0.19793756,0.17209919
2017-05-08 22:00:00,0.1954948,0.1958437,0.20826398,0.16899873,0.17700605,0.17973077
2017-05-08 23:00:00,0.1850279,0.197996,0.18617192,0.18288495,0.1633017,0.16697954
2017-05-09 00:00:00,0.19937283,0.1880413,0.19647549,0.17734277,0.18110453,0.17645158
2017-05-09 01:00:00,0.18663833,0.16701502,0.1928613,0.16844864,0.18016142,0.17439413
2017-05-09 02:00:00,0.18515837,0.19116448,0.190951,0.20191942,0.18929143,0.16434038
2017-05-09 03:00:00,0.18324672,0.17919797,0.19083834,0.16208658,0.18593241,0.15732396
2017-05-09 04:00:00,0.18064001,0.15483847,0.17680751,0.17495984,0.16866328,0.17031065
2017-05-09 05:00:00,0.18134497,0.18402018,0.1955723,0.1671992,0.18048094,0.18248017
2017-05-09 06:00:00,0.20933229,0.18406427,0.19241582,0.16531475,0.17662895,0.18417436
2017-05-09 07:00:00,0.19177946,0.19397919,0.2003816,0.16710985,0.18805528,0.18575959
2017-05-09 08:00:00,0.19534832,0.177539,0.19054618,0.17205197,0.169115,0.1803707
2017-05-09 09:00:00,0.1781181,0.19590154,0.21042474,0.18026198,0.17793068,0.1723027
2017-05-09 10:00:00,0.18819542,0.19309203,0.19388995,0.18185145,0.16210642,0.19170134
